show_id,type,Tipo,name,Director,Elenco,country,Pais,year,clasificacion,duracion,listed_in,genero,description,Sinopsis,Plataforma
s20,Movie,Película,Enchanted,Kevin Lima,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon",United States,Estados Unidos,2007,PG,110 min,"Comedy, Family, Fantasy","Comedia, Familia, Fantasía",An animated princess winds up in the real world of modern-day Manhattan.,Una princesa animada termina en el mundo real del Manhattan actual.,Disney plus
s21,Movie,Película,Feast,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",United States,Estados Unidos,2014,G,8 min,"Animation, Comedy, Drama","Animación, Comedia, Drama",One man's love life seen through the eyes of his dog.,La vida amorosa de un hombre vista a través de los ojos de su perro.,Disney plus
s22,Movie,Película,Frozen Fever,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Chris Williams",United States,Estados Unidos,2015,G,11 min,"Animation, Family, Fantasy","Animación, Familia, Fantasía",Elsa wants to give Anna the best birthday party ever.,Elsa quiere darle a Anna la mejor fiesta de cumpleaños de todos los tiempos.,Disney plus
s23,Movie,Película,Get a Horse!,Lauren MacMullan,"Walt Disney, Marcellite Garner, Russi Taylor, Billy Bletcher, Will Ryan, Bob Bergen",United States,Estados Unidos,2013,G,7 min,"Action-Adventure, Animation, Comedy","Acción-aventura, Animación, Comedia",Mickey and friends hitch a ride on a musical hay wagon.,Mickey y sus amigos viajan en un carro de heno musical.,Disney plus
s24,Movie,Película,Home Sweet Home Alone,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, Kenan Thompson, Tim Simons",United States,Estados Unidos,2021,PG,95 min,"Comedy, Family","Comedia, Familia","Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers.","Solo durante las vacaciones, Max Mercer hará lo que sea necesario para proteger su casa de los intrusos.",Disney plus
s25,Movie,Película,Jungle Cruise,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramirez, Jack Whitehall, Jesse Plemons, Paul Giamatti",United States,Estados Unidos,2021,PG-13,129 min,"Action-Adventure, Comedy, Family","Acción-aventura, Comedia, Familia",Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.,La Dra. Lily Houghton y el capitán Frank Wolff se unen para un viaje salvaje por el Amazonas.,Disney plus
s26,Movie,Película,Limitless with Chris Hemsworth,,Chris Hemsworth,,,2021,TV-14,2 min,Lifestyle,Estilo de vida,"""Limitless with Chris Hemsworth"" is coming to Disney+ in 2022.","""Limitless with Chris Hemsworth"" llegará a Disney+ en 2022.",Disney plus
s27,Movie,Película,Marvel Studios’ 2021 Disney+ Day Special,,,,,2021,TV-PG,14 min,Movies,Cine,"Marvel Studios’ Disney+ Day Special explores the Disney+ series of the MCU – past, present and future.","El especial del día de Disney+ de Marvel Studios explora la serie Disney+ del MCU: pasado, presente y futuro.",Disney plus
s28,Movie,Película,Obi-Wan Kenobi,,,,,2021,TV-PG,1 min,"Action-Adventure, Science Fiction","Acción-aventura, Ciencia ficción","A behind the scenes look of the ""Obi-Wan Kenobi"" special event series. Coming to Disney+ in 2022.","Una mirada detrás de escena de la serie de eventos especiales ""Obi-Wan Kenobi"". Llegará a Disney+ en 2022.",Disney plus
s29,TV Show,Programa de televisión,Olaf Presents,,Josh Gad,,,2021,TV-PG,1 Season,"Animation, Family","Animación, Familia",Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales.,Olaf pasa de muñeco de nieve a showman por su singular narración de cinco cuentos favoritos de Disney Animation.,Disney plus
s30,Movie,Película,Paperman,John Kahrs,"John Kahrs, Kari Wahlgren",United States,Estados Unidos,2012,G,7 min,"Animation, Comedy, Family","Animación, Comedia, Familia",A young man strives to find girl of his dreams.,Un joven se esfuerza por encontrar la chica de sus sueños.,Disney plus
s31,Movie,Película,Pixar 2021 Disney+ Day Special,,"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane",,,2021,G,5 min,Movies,Cine,Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.,Únase a Pete Docter para un recorrido por Pixar y eche un vistazo a varios de los próximos lanzamientos de Disney+.,Disney plus
s32,Movie,Película,Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley","United States, Australia","Estados Unidos, Australia",2021,PG-13,134 min,"Action-Adventure, Fantasy, Superhero","Acción-aventura, Fantasía, Superhéroe","Shang-Chi must confront his father, leader of the Ten Rings organization.","Shang-Chi deberá enfrentarse a su padre, líder de la organización de los Diez Anillos.",Disney plus
s33,Movie,Película,Spin,Manjari Makijany,"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri",,,2021,TV-G,94 min,"Coming of Age, Music","Mayoría de edad, Música",Rhea discovers her passion for creating DJ mixes!,¡Rhea descubre su pasión por crear mezclas de DJ!,Disney plus
s34,Movie,Película,Tangled Ever After,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",United States,Estados Unidos,2012,G,9 min,"Animation, Family","Animación, Familia",It's up to Max and Pascal to save the royal wedding.,Depende de Max y Pascal salvar la boda real.,Disney plus
s35,Movie,Película,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,,,2011,G,8 min,"Animation, Family, Fantasy","Animación, Familia, Fantasía",A colorful tale about the friendly Loch Ness monster.,Una colorida historia sobre el simpático monstruo del Lago Ness.,Disney plus
s36,Movie,Película,The Little Matchgirl,Roger Allers,,United States,Estados Unidos,2006,G,7 min,"Animation, Drama","Animación, Drama",A poor matchgirl sees happy images in the flames of her matches.,Una pobre cerillera ve imágenes felices en las llamas de sus cerillas.,Disney plus
s37,Movie,Película,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez",,,2021,TV-PG,30 min,"Concert Film, Music","Concierto Cine, Música","Go behind the scenes of ""Happier Than Ever: A Love Letter to Los Angeles.""","Vaya detrás de escena de ""Más feliz que nunca: Una carta de amor a Los Ángeles"".",Disney plus
s38,Movie,Película,The Proud Family: Louder and Prouder,,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer",,,2021,TV-G,1 min,"Animation, Comedy, Coming of Age","Animación, Comedia, Mayoría de edad","""The Proud Family: Louder and Prouder"" follows Penny Proud and her family. Coming in February 2022.","""The Proud Family: Louder and Prouder"" sigue a Penny Proud y su familia. Próximamente en febrero de 2022.",Disney plus
s39,Movie,Película,The Simpsons in Plusaversary,David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",,,2021,TV-PG,6 min,"Animation, Comedy","Animación, Comedia",Celebrate Disney+ Day with The Simpsons and their friends from across the service.,Celebre el Día de Disney+ con Los Simpson y sus amigos de todo el servicio.,Disney plus
s40,Movie,Película,Tick Tock Tale,Dean Wellins,,United States,Estados Unidos,2010,G,6 min,"Animation, Crime, Family","Animación, Crimen, Familia",A tale of a quirky mantle clock.,La historia de un peculiar reloj de sobremesa.,Disney plus
s41,Movie,Película,Under the Helmet: The Legacy of Boba Fett,,,,,2021,TV-PG,22 min,Science Fiction,Ciencia ficción,"A special celebrating the origins and legacy of Star Wars’ legendary bounty hunter, Boba Fett.","Un especial que celebra los orígenes y el legado del legendario cazarrecompensas de Star Wars, Boba Fett.",Disney plus
s42,Movie,Película,Willow,,,,,2021,TV-PG,3 min,"Action-Adventure, Fantasy","Acción-aventura, Fantasía","Meet the cast of the all-new Disney+ fantasy-adventure series ""Willow."" Coming to Disney+ in 2022.","Conoce al elenco de la nueva serie de aventuras y fantasía de Disney+ ""Willow"". Llegará a Disney+ en 2022.",Disney plus
s43,Movie,Película,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",United States,Estados Unidos,2011,G,87 min,"Comedy, Family, Music","Comedia, Familia, Música",The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.,"Las Ardillas y las Ardillas quedan varadas en una isla remota, o eso parece.",Disney plus
s44,Movie,Película,Jingle All The Way,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",United States,Estados Unidos,1996,PG,90 min,"Comedy, Family","Comedia, Familia",A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.,La Nochebuena de un padre se convierte en una loca lucha por encontrar un juguete muy buscado para su hijo.,Disney plus
s45,Movie,Película,Jingle All the Way 2,Alex Zamm,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",United States,Estados Unidos,2014,PG,91 min,"Comedy, Family","Comedia, Familia",Two dads compete to be the best father and make Christmas amazing!,¡Dos papás compiten para ser el mejor padre y hacer que la Navidad sea increíble!,Disney plus
s46,Movie,Película,Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton","Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard",,,2010,TV-G,8 min,"Animation, Family, Fantasy","Animación, Familia, Fantasía",Mrs. Claus enlists two elves in a secret mission.,La señora Claus recluta a dos elfos en una misión secreta.,Disney plus
s47,Movie,Película,Santa Buddies: The Legend of Santa Paws,Robert Vince,"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae","United States, Canada","Estados Unidos, Canadá",2009,G,93 min,"Comedy, Fantasy, Kids","Comedia, Fantasía, Infantil","The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas.","Los Buddies le recuerdan al luchador hijo de Santa Paws, Puppy Paws, el verdadero significado de la Navidad.",Disney plus
s48,Movie,Película,Snow Buddies,Robert Vince,"Dominic Scott Kay, John Kapelos, Lise Simms, Mike Dopud, Charles C. Stevenson Jr., Dylan Minnette",United States,Estados Unidos,2008,G,91 min,"Action-Adventure, Comedy, Kids","Acción-aventura, Comedia, Infantil",Disney’s favorite talking pups put one paw in front of the other in a thrilling Alaskan adventure.,Los cachorros parlantes favoritos de Disney ponen una pata delante de la otra en una emocionante aventura en Alaska.,Disney plus
s49,Movie,Película,Space Buddies,Robert Vince,"F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross, Mike Dopud, Mark Downey","United States, Canada","Estados Unidos, Canadá",2009,G,87 min,"Action-Adventure, Comedy, Kids","Acción-aventura, Comedia, Infantil","Disney's most adventurous talking pups take one small step for dog, one giant leap for dogkind.","Los cachorros parlantes más aventureros de Disney dan un pequeño paso para los perros, un gran salto para los perros.",Disney plus
s50,Movie,Película,The Search for Santa Paws,Robert Vince,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",Canada,Canadá,2010,G,101 min,"Drama, Family, Fantasy","Drama, Familia, Fantasía",Discover how the legendary friendship of Santa Claus and Santa Paws began.,Descubra cómo comenzó la legendaria amistad de Santa Claus y Santa Paws.,Disney plus
s51,Movie,Película,X-Men: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Rose Byrne, Jennifer Lawrence, January Jones, Nicholas Hoult","United States, United Kingdom","Estados Unidos, Reino Unido",2011,PG-13,132 min,"Action-Adventure, Science Fiction, Superhero","Acción-aventura, Ciencia ficción, Superhéroe","Following the classic mythology, X-Men: First Class charts the epic beginning of the X-Men saga.","Siguiendo la mitología clásica, X-Men: First Class traza el comienzo épico de la saga X-Men.",Disney plus
s52,TV Show,Programa de televisión,Disney Amphibia,,"Justin Felbinger, Amanda Leighton, Bill Farmer, Brenda Song","United States, South Korea","Estados Unidos, Corea del Sur",2018,TV-Y7,3 Seasons,"Animation, Comedy, Family","Animación, Comedia, Familia",Anne Boonchuy is transported to the world of Amphibia.,Anne Boonchuy es transportada al mundo de Amphibia.,Disney plus
s53,TV Show,Programa de televisión,Photo Ark,,Joel Sartore,United States,Estados Unidos,2017,TV-PG,1 Season,"Animals & Nature, Docuseries, Family","Animales y Naturaleza, Docuseries, Familia",National Geographic photographer Joel Sartore photographs some of the rarest animals in the world.,"El fotógrafo de National Geographic, Joel Sartore, fotografía algunos de los animales más raros del mundo.",Disney plus
s54,TV Show,Programa de televisión,Storm Rising,,,,,2021,TV-14,1 Season,"Action-Adventure, Animals & Nature, Docuseries","Acción-Aventura, Animales y Naturaleza, Docuseries",Storm chasers Reed Timmer and Mike Theiss track and study a new category of deadly storms.,Los cazadores de tormentas Reed Timmer y Mike Theiss rastrean y estudian una nueva categoría de tormentas mortales.,Disney plus
s55,Movie,Película,Bob Ballard: An Explorer's Life,,,,,2021,TV-PG,44 min,"Biographical, Documentary","Biográfico, Documental","An intimate portrait of Bob Ballard, the legendary explorer who found the Titanic.","Un retrato íntimo de Bob Ballard, el legendario explorador que encontró el Titanic.",Disney plus
s56,Movie,Película,"McFarland, USA",Niki Caro,"Kevin Costner, Maria Bello, Morgan Saylor, Martha Higareda, Michael Aguero, Sergio Avelar",United States,Estados Unidos,2015,PG,131 min,"Drama, Sports","Drama, Deportes",A coach guides underdogs past tremendous obstacles to become champions.,Un entrenador guía a los desvalidos a superar tremendos obstáculos para convertirse en campeones.,Disney plus
s57,Movie,Película,Rookie of the Year,Daniel Stern,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Eddie Bracken",United States,Estados Unidos,1993,PG,104 min,"Comedy, Family, Sports","Comedia, Familia, Deportes","A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!",¡Un niño de 12 años puede lanzar una bola rápida a 100 mph y los Cachorros de Chicago lo quieren como su nuevo lanzador!,Disney plus
s58,Movie,Película,Thumbelina,"Don Bluth, Gary Goldman","Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan, June Foray, Kenneth Mars","Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary","Irlanda, Estados Unidos, Canadá, Reino Unido, Dinamarca, España, Polonia, Hungría",1994,G,87 min,"Animation, Family, Fantasy","Animación, Familia, Fantasía",A digit-sized heroine evades the clutches of various creatures so she can reunite with her prince.,Una heroína del tamaño de un dedo evade las garras de varias criaturas para poder reunirse con su príncipe.,Disney plus
s59,TV Show,Programa de televisión,PJ Masks,,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley","France, United Kingdom","Francia, Reino Unido",2015,TV-Y7,5 Seasons,"Action-Adventure, Animation, Kids","Acción-aventura, Animación, Infantil",Look out Night Time Baddies the PJ Masks are coming!,"¡Cuidado con Night Time Baddies, los PJ Masks están por llegar!",Disney plus
s60,TV Show,Programa de televisión,The Wild Life of Dr. Ole,,,,,2021,TV-PG,1 Season,"Animals & Nature, Reality","Animales y Naturaleza, Realidad","Doc Ole practices his unique brand of animal care with wit, expertise and insight.","Doc Ole practica su estilo único de cuidado animal con ingenio, experiencia y perspicacia.",Disney plus
s61,Movie,Película,Lost Cities with Albert Lin: The Great Flood,Jim Greayer,Dr. Albert Yu-Min Lin,,,2021,TV-PG,44 min,"Documentary, Historical","Documental, Histórico",Albert Lin is on a global quest to find the origins of Great Flood stories.,Albert Lin emprende una búsqueda global para encontrar los orígenes de las historias del Gran Diluvio.,Disney plus
s62,Movie,Película,Megacity of the Maya Warriors,Ben Crichton,Albert Lin,,,2021,TV-PG,44 min,Documentary,Documental,Albert Lin sets out to solve an ancient mystery and find a Lost Maya city.,Albert Lin se propone resolver un antiguo misterio y encontrar una ciudad maya perdida.,Disney plus
s63,TV Show,Programa de televisión,Apollo: Back To The Moon,,"Bill Anders, Jack Clemons, Fred Haise, Glynn Lunney, Jay Barbree, Brad Vinikow",,,2019,TV-PG,1 Season,"Docuseries, Historical","Docuseries, Histórico","Follow the Apollo lunar landing program from the inside, as never shown before.","Sigue el programa de aterrizaje lunar del Apolo desde dentro, como nunca antes se había mostrado.",Disney plus
s64,TV Show,Programa de televisión,Just Beyond,,"Mckenna Grace, Lexi Underwood, Cedric Joe, Tim Heidecker, Riki Lindhome, Nasim Pedrad",,,2021,TV-PG,1 Season,"Anthology, Comedy, Coming of Age","Antología, Comedia, Mayoría de edad","Inspired by the writings of R.L. Stine, “Just Beyond” is a supernatural anthology series.","Inspirada en los escritos de R.L. Stine, “Just Beyond” es una serie de antología sobrenatural.",Disney plus
s65,TV Show,Programa de televisión,Secrets Of The Zoo: Down Under,,Naomi Watts,,,2020,TV-14,2 Seasons,"Animals & Nature, Docuseries, Family","Animales y Naturaleza, Docuseries, Familia",This series is a behind-the-scenes look at one of the world’s most famous zoos.,Esta serie es una mirada detrás de escena de uno de los zoológicos más famosos del mundo.,Disney plus
s66,TV Show,Programa de televisión,Secrets of the Zoo: North Carolina,,,,,2020,TV-14,1 Season,Reality,Realidad,"The North Carolina Zoo has more than 1,000 animals that live in lush natural habitats.",El zoológico de Carolina del Norte tiene más de 1000 animales que viven en exuberantes hábitats naturales.,Disney plus
s67,TV Show,Programa de televisión,The Wizard of Paws,,,,,2021,TV-PG,1 Season,"Animals & Nature, Docuseries, Medical","Animales y naturaleza, Docuseries, Médico",Follow pet prosthetics pioneer Derrick Campana as he gives troubled animals a second chance.,"Siga al pionero de las prótesis para mascotas, Derrick Campana, mientras brinda a los animales con problemas una segunda oportunidad.",Disney plus
s68,TV Show,Programa de televisión,Zombies: Addison's Moonstone Mystery,,,,,2020,TV-G,1 Season,"Animation, Coming of Age, Fantasy","Animación, Mayoría de edad, Fantasía",Things are smooth sailing at Seabrook High until ...,Las cosas van sobre ruedas en Seabrook High hasta...,Disney plus
s69,Movie,Película,Just Roll With It: You Decide Live!,,"Tobie Windham, Suzi Barrett, Ramon Reed, Kaylin Hayman, JC Currais, Raven-Symoné",,,2019,G,52 min,Comedy,Comedia,The Bennett-Blatts set out to reverse an evil curse!,¡Los Bennett-Blatt se propusieron revertir una maldición maligna!,Disney plus
s70,Movie,Película,Mickey's Tale of Two Witches,Jeff Gordon,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Daniel Ross, Tress MacNeille, Jim Cummings",,,2021,TV-Y,47 min,"Animation, Family, Fantasy","Animación, Familia, Fantasía",Mickey tells a tale of two witches-in-training!,¡Mickey cuenta la historia de dos brujas en entrenamiento!,Disney plus
s71,Movie,Película,Muppets Haunted Mansion,Kirk Thatcher,"Dave Goelz, Bill Barretta, Will Arnett, Taraji P. Henson, Yvette Nicole Brown, Darren Criss",,,2021,TV-PG,53 min,"Comedy, Family, Musical","Comedia, Familia, Musical",Gonzo is challenged to spend Halloween night in the scariest place on Earth – the Haunted Mansion.,Gonzo tiene el desafío de pasar la noche de Halloween en el lugar más aterrador de la Tierra: la Mansión Encantada.,Disney plus
s72,Movie,Película,The Most Magical Story on Earth: 50 Years of Walt Disney World,Dave Hoffman,"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady",,,2021,TV-PG,85 min,"Family, Variety","Familia, Variedad",Celebrating 50 years of the Walt Disney World Resort.,Celebrando los 50 años de Walt Disney World Resort.,Disney plus
s73,Movie,Película,Under Wraps,Alex Zamm,"Malachi Barton, Christian J. Simon, Sophia Hammons, Melanie Brook, Brent Stait, Jordana Largy",,,2021,TV-G,92 min,"Action-Adventure, Comedy, Kids","Acción-aventura, Comedia, Infantil",Three friends revive a mummy in a neighbor's basement.,Tres amigos reviven una momia en el sótano de un vecino.,Disney plus
s74,TV Show,Programa de televisión,Among the Stars,,Chris Cassidy,,,2021,TV-PG,1 Season,Docuseries,Docuseries,NASA Astronaut Captain Chris Cassidy and the NASA team take on the challenges of space exploration.,El capitán astronauta de la NASA Chris Cassidy y el equipo de la NASA asumen los desafíos de la exploración espacial.,Disney plus
s75,Movie,Película,Black Widow,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Rachel Weisz, Ray Winstone",United States,Estados Unidos,2021,PG-13,135 min,"Action-Adventure, Science Fiction, Spy/Espionage","Acción-aventura, Ciencia ficción, Espionaje/espionaje",Natasha confronts her history as a spy and the broken relationships left in her wake.,Natasha confronta su historia como espía y las relaciones rotas que dejó a su paso.,Disney plus
s76,TV Show,Programa de televisión,Drain the Oceans,,Russell Boulter,"United Kingdom, Australia","Reino Unido, Australia",2017,TV-PG,4 Seasons,"Docuseries, Historical","Docuseries, Histórico",Pull the plug on the ocean to reveal hidden secrets using groundbreaking technology.,Desconecte el océano para revelar secretos ocultos utilizando tecnología innovadora.,Disney plus
s77,TV Show,Programa de televisión,Drain The Oceans: The Mississippi River & Arctic War,,Kerry Shale,,,2021,TV-14,1 Season,"Docuseries, Historical","Docuseries, Histórico",Drain the Oceans takes underwater archaeology into a whole new era.,Drain the Oceans lleva la arqueología submarina a una era completamente nueva.,Disney plus
