show_id,Tipo,type,name,título,Pais,country,year,clasificacion,duracion,duration,genero,listed_in,description,Sinopsis,Plataforma
s20,programa de televisión,TV Show,Beyond Scared Straight,Más allá del miedo,Estados Unidos,United States,2011,TV-14,6 estaciones,6 Seasons,"Documentales, Realidad, Adolescentes","Documentaries, Reality, Teen","Beyond Scared Straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. The power of the original Scared Straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. These youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars.","Beyond Scared Straight describe el nuevo enfoque para evitar que los adolescentes de hoy se conviertan en los prisioneros del mañana. ¡El poder del Scared Straight original! El programa ha inspirado docenas de programas de intervención dirigidos por reclusos en cárceles de hombres y mujeres de todo el país. Estos programas para delincuentes juveniles colocan a niños y niñas de todas las etnias y orígenes, con edades comprendidas entre 11 y 18 años, en sesiones intensivas de un día en prisión que les muestran las realidades de la vida tras las rejas.",Hulu
s21,Película,Movie,Cheer Camp Killer,Animar al asesino del campamento,,,2020,TV-14,87 minutos,87 min,Suspenso,Thriller,"Camp queen bee Victoria does not take kindly to a newcomer like Sophia taking her spotlight, so she launches a dangerous plan to get her rival out of the way.","A Victoria, la abeja reina del campamento, no le agrada que una recién llegada como Sophia se convierta en el centro de atención, por lo que lanza un peligroso plan para quitar del camino a su rival.",Hulu
s22,programa de televisión,TV Show,Hoarders,Acaparadores,Estados Unidos,United States,2009,TV-PG,7 estaciones,7 Seasons,"Salud y Bienestar, Estilo de Vida y Cultura, Realidad","Health & Wellness, Lifestyle & Culture, Reality",Each 60-minute episode of Hoarders is a fascinating look inside the lives of two different people whose inability to part with their belongings is so out of control that they are on the verge of a personal crisis.,Cada episodio de 60 minutos de Hoarders es una mirada fascinante al interior de las vidas de dos personas diferentes cuya incapacidad para desprenderse de sus pertenencias está tan fuera de control que están al borde de una crisis personal.,Hulu
s23,programa de televisión,TV Show,Little Women: Atlanta,Mujercitas: Atlanta,Estados Unidos,United States,2016,TV-14,2 estaciones,2 Seasons,"Historias Negras, Realidad","Black Stories, Reality","In Little Women: Atlanta, the little ladies turn it up wherever they go out, especially with club promoter Emily leading the charge. There is no shortage of drama within this circle of friends as they face the daily challenges that come with being a little person.","En Mujercitas: Atlanta, las señoritas se lucen dondequiera que salgan, especialmente con la promotora del club Emily a la cabeza. No falta el drama dentro de este círculo de amigos mientras enfrentan los desafíos diarios que conlleva ser una persona pequeña.",Hulu
s24,programa de televisión,TV Show,Marrying Millions,Casarse con millones,,,2019,TV-14,2 estaciones,2 Seasons,"Documentales, Realidad, Romance","Documentaries, Reality, Romance","Marrying Millions follows six couples who are deeply in love and hoping to marry, but come from completely different worlds. Regular people are whisked off their feet and plunged into a high-end life of riches","Marrying Millions sigue a seis parejas que están profundamente enamoradas y esperan casarse, pero que provienen de mundos completamente diferentes. La gente normal se vuelve loca y se sumerge en una vida de riquezas de alto nivel.",Hulu
s25,programa de televisión,TV Show,Nightwatch,Vigilancia nocturna,Estados Unidos,United States,2015,TV-14,4 estaciones,4 Seasons,"Documentales, Drama, Misterio","Documentaries, Drama, Mystery","""Nightwatch"" follows the dangerous stretch of time (between 9pm until 3am) when emergency responders deal with the busiest shift of the day and the most unnerving cases.","""Nightwatch"" sigue el peligroso período de tiempo (entre las 9 p. m. y las 3 a. m.) en el que los servicios de emergencia se ocupan del turno más ocupado del día y de los casos más desconcertantes.",Hulu
s26,programa de televisión,TV Show,Seven Year Switch,Cambio de siete años,,,2017,TV-14,1 temporada,1 Season,Realidad,Reality,"In Seven Year Switch, four couples at a crossroads in their relationship get a chance to live with a stranger for two weeks in an experimental marriage.","En Seven Year Switch, cuatro parejas que se encuentran en una encrucijada en su relación tienen la oportunidad de vivir con un extraño durante dos semanas en un matrimonio experimental.",Hulu
s27,Película,Movie,Sleepwalker,Sonámbulo,,,2017,TV-14,88 minutos,88 min,Suspenso,Thriller,A graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality.,Una estudiante de posgrado que sufre ataques de sonambulismo comienza a tener problemas para diferenciar entre sus sueños y la realidad.,Hulu
s28,programa de televisión,TV Show,Swamp People,gente del pantano,Estados Unidos,United States,2010,TV-PG,3 estaciones,3 Seasons,"Documentales, Realidad","Documentaries, Reality","Deep in the heart of Louisiana lies America's largest swamp – a million miles of inhospitable bayous, marshes and wetlands where nature rules and humans struggle to tame it.","En lo profundo del corazón de Luisiana se encuentra el pantano más grande de Estados Unidos: un millón de millas de inhóspitos pantanos, marismas y humedales donde la naturaleza manda y los humanos luchan por domesticarla.",Hulu
s29,programa de televisión,TV Show,Unsolved,No resuelto,,,2019,,2 estaciones,2 Seasons,"Documentales, Noticias","Documentaries, News","More than 750 people are missing from Houston and the surrounding towns of the major Texas city. Among the missing are mothers written off by police as runaways. They are hardworking couples who have been targeted. And they are upstanding members of their community who simply slowed down to give someone a ride. Some have been found, their bodies dumped in the infamous Texas Killing Fields. Others have vanished and their cases gone cold. A year turns into five years, turns into a decade and it gets harder and harder for investigators to generate new leads. But, detectives quietly keep working. They work for the women whose stories are forgotten. They work for the families ripped apart by seemingly random attacks. DNA is tested as evidence, sketches are drawn of the missing, surveillance video of a suspect is circulated among media in hopes of closing a case. But when the missing go unreported, victims faces have long since faded from the headlines and even the best video can't identify a murderer, do their cases go unsolved forever?","Más de 750 personas están desaparecidas en Houston y los pueblos circundantes de la principal ciudad de Texas. Entre los desaparecidos se encuentran madres que la policía considera fugitivas. Son parejas trabajadoras que han sido blanco de ataques. Y son miembros honrados de su comunidad que simplemente redujeron la velocidad para llevar a alguien. Algunos han sido encontrados, sus cuerpos arrojados en los infames campos de exterminio de Texas. Otros han desaparecido y sus casos se han archivado. Un año se convierte en cinco años, en una década y a los investigadores les resulta cada vez más difícil generar nuevas pistas. Pero los detectives siguen trabajando silenciosamente. Trabajan para las mujeres cuyas historias están olvidadas. Trabajan para las familias destrozadas por ataques aparentemente aleatorios. Se analiza el ADN como prueba, se dibujan bocetos de los desaparecidos, se hace circular entre los medios un vídeo de vigilancia de un sospechoso con la esperanza de cerrar el caso. Pero cuando los desaparecidos no son denunciados, los rostros de las víctimas hace tiempo que han desaparecido de los titulares y ni siquiera el mejor vídeo puede identificar al asesino, ¿sus casos quedan sin resolver para siempre?",Hulu
s30,programa de televisión,TV Show,Acapulco Shore,Costa de Acapulco,,,2014,TV-14,3 estaciones,3 Seasons,"Latino, Realidad","Latino, Reality","A group of young Mexicans live together and share fun, drama and a lot of alcohol.","Un grupo de jóvenes mexicanos conviven y comparten diversión, drama y mucho alcohol.",Hulu
s31,programa de televisión,TV Show,Catfish México,Bagre México,,,2018,,1 temporada,1 Season,"Latino, Realidad","Latino, Reality","Porque sabemos que no es fácil encontrar el amor verdadero en este mundo digital, MTV Catfish llega a México para salvarte de las mentiras. Todos nos merecemos saber quién está detrás de ese perfil falso.","Porque sabemos que no es fácil encontrar el amor verdadero en este mundo digital, MTV Catfish llega a México para salvarte de las mentiras. Todos nos merecemos saber quién está detrás de ese perfil falso.",Hulu
s32,Película,Movie,Censor,Censurar,,,2021,,84 minutos,84 min,Horror,Horror,A film censor is assigned to review a disturbing film that recalls her childhood memories. She begins to unravel how this eerie work might be tied to the long-ago disappearance of her sister.,A un censor de cine se le asigna la tarea de revisar una película inquietante que evoca sus recuerdos de infancia. Ella comienza a desentrañar cómo este misterioso trabajo podría estar relacionado con la desaparición hace mucho tiempo de su hermana.,Hulu
s33,programa de televisión,TV Show,Dani Who?,Dani ¿Quién?,,,2019,,1 temporada,1 Season,"Latino, Misterio, Ciencia ficción","Latino, Mystery, Science Fiction",A girl disappears in the town of San Gregorio and a group of teenagers decide to investigate what happened.,Una niña desaparece en el pueblo de San Gregorio y un grupo de adolescentes deciden investigar lo sucedido.,Hulu
s34,programa de televisión,TV Show,La Culpa es de Cortés,La Culpa es de Cortés,,,2017,,4 estaciones,4 Seasons,"Comedia, Latina","Comedy, Latino","Cinco reconocidos comediantes mexicanos, de distintas regiones del país, se juntan para comentar de manera ácida y divertida las costumbres y tradiciones de México.","Cinco reconocidos comediantes mexicanos, de distintas regiones del país, se juntan para comentar de manera ácida y divertida las costumbres y tradiciones de México.",Hulu
s35,Película,Movie,Out of Death,Fuera de la muerte,,,2021,NOT RATED,95 minutos,95 min,Suspenso,Thriller,"When Shannon (Jaime King) sets out on a hike to spread her deceased father’s ashes, she witnesses a corrupt sheriff’s deputy, Billie (Lala Kent) brutally murder a drug dealer. Having seen Shannon witness the murder, Billie and her cohorts set off to permanently silence Shannon. On the run from the dirty cops, Shannon stumbles into and recruits the help of a retired cop, Jack Harris (Bruce Willis).","Cuando Shannon (Jaime King) emprende una caminata para esparcir las cenizas de su difunto padre, es testigo de cómo una corrupta ayudante del sheriff, Billie (Lala Kent), asesina brutalmente a un traficante de drogas. Después de ver a Shannon presenciar el asesinato, Billie y sus secuaces se propusieron silenciar permanentemente a Shannon. Huyendo de los policías corruptos, Shannon tropieza y recluta la ayuda de un policía retirado, Jack Harris (Bruce Willis).",Hulu
s36,programa de televisión,TV Show,The Real Housewives of Orange County,Las verdaderas amas de casa del condado de Orange,Estados Unidos,United States,2006,TV-14,15 estaciones,15 Seasons,Realidad,Reality,"The O.C. ladies are back as the series goes behind the gates for a voyeuristic look at the scandalous truths, mending friendships, rocky marriages, sizzling romances, and ever-changing loyalties inside the wealthy Southern California suburb.","La O.C. Las damas están de regreso mientras la serie avanza tras las puertas para una mirada voyeurista a las verdades escandalosas, la reparación de amistades, los matrimonios difíciles, los romances candentes y las lealtades en constante cambio dentro del rico suburbio del sur de California.",Hulu
s37,programa de televisión,TV Show,Why Not Us,¿Por qué no nosotros?,,,2021,,2 estaciones,2 Seasons,"Documentales, Deportes","Documentaries, Sports","All-access to the North Carolina Central University men's basketball program, which looks to become the first HBCU to reach the Sweet 16.","Acceso total al programa de baloncesto masculino de la Universidad Central de Carolina del Norte, que busca convertirse en la primera HBCU en llegar al Sweet 16.",Hulu
s38,Película,Movie,BELLATOR MMA: Kongo vs. Johnson 2,BELLATOR MMA: Kongo vs.Johnson 2,,,2020,,#VALUE!,,Deportes,Sports,Cheick Kongo vs. Tim Johnson battle in a historic classic from October 2020,Batalla entre Cheick Kongo y Tim Johnson en un clásico histórico de octubre de 2020,Hulu
s39,Película,Movie,CHIPS,PAPAS FRITAS,,,2017,R,101 minutos,101 min,"Acción, Aventura, Comedia","Action, Adventure, Comedy",Ponch and Jon are together again in this hilarious update of the popular TV series that follows a mismatched pair of motorcycle cops.,Ponch y Jon están juntos nuevamente en esta divertida actualización de la popular serie de televisión que sigue a un par de policías en motocicleta que no coinciden.,Hulu
s40,programa de televisión,TV Show,Dopesick,mareado,,,2021,TV-MA,1 temporada,1 Season,Drama,Drama,"From Executive Producer Danny Strong and starring and executive produced by Michael Keaton, “Dopesick” examines how one company triggered the worst drug epidemic in American history. The series takes viewers to the epicenter of America’s struggle with opioid addiction, from the boardrooms of Big Pharma, to a distressed Virginia mining community, to the hallways of the DEA. Defying all the odds, heroes will emerge in an intense and thrilling ride to take down the craven corporate forces behind this national crisis and their allies. The limited series is inspired by the New York Times bestselling book by Beth Macy.","Del productor ejecutivo Danny Strong y protagonizado y producido por Michael Keaton, “Dopesick” examina cómo una empresa desencadenó la peor epidemia de drogas en la historia de Estados Unidos. La serie lleva a los espectadores al epicentro de la lucha de Estados Unidos contra la adicción a los opioides, desde las salas de juntas de las grandes farmacéuticas hasta una comunidad minera en apuros de Virginia y los pasillos de la DEA. Desafiando todas las probabilidades, los héroes surgirán en un viaje intenso y emocionante para derrotar a las cobardes fuerzas corporativas detrás de esta crisis nacional y a sus aliados. La serie limitada está inspirada en el libro más vendido del New York Times escrito por Beth Macy.",Hulu
s41,Película,Movie,In the Crease,en el pliegue,,,2020,,#VALUE!,,Deportes,Sports,Post-game analysis and highlight show airing each night throughout the NHL season from Barry Melrose and Linda Cohn.,Análisis posterior al juego y programa destacado que se transmite todas las noches durante la temporada de la NHL de Barry Melrose y Linda Cohn.,Hulu
s42,programa de televisión,TV Show,"Champaign, Ill","Champaña, enfermo",,,2018,,1 temporada,1 Season,Comedia,Comedy,"After the death of their best friend, a wildly famous rap icon, Alf and Ronnie lose their lavish lifestyle and are forced to return home to Champaign, Illinois. In order to get back what the","Después de la muerte de su mejor amigo, un ícono del rap tremendamente famoso, Alf y Ronnie pierden su lujoso estilo de vida y se ven obligados a regresar a su casa en Champaign, Illinois. Para recuperar lo que",Hulu
s43,Película,Movie,The Loneliest Whale: The Search for 52,La ballena más solitaria: la búsqueda del 52,,,2021,PG,97 minutos,97 min,Documentales,Documentaries,"A cinematic quest to find the “52 Hertz Whale.” As the film embarks on its engrossing journey, we uncover what this whale’s lonely plight teaches us not only about our relationship to the ocean, but to each other.","Una búsqueda cinematográfica para encontrar la ""Ballena de 52 Hertz"". A medida que la película se embarca en su apasionante viaje, descubrimos lo que la solitaria situación de esta ballena nos enseña no sólo sobre nuestra relación con el océano, sino también entre nosotros.",Hulu
s44,Película,Movie,Gunda,gunda,,,2020,G,93 minutos,93 min,Documentales,Documentaries,"Experiential cinema in its purest form, GUNDA is a transcendent and masterfully intimate chronicle of a mother pig, a flock of chickens, and a herd of cows.","Cine experiencial en estado puro, GUNDA es una crónica trascendente y magistralmente íntima de una madre cerda, una bandada de gallinas y un rebaño de vacas.",Hulu
s45,programa de televisión,TV Show,Buried,Enterrado,,,2021,TV-MA,1 temporada,1 Season,"Crimen, Documentales","Crime, Documentaries","In January 1989, in a flash Eileen Franklin recalled being eight years old and witnessing the rape and murder of her best friend, Susan Nason. She also remembered the identity of the murderer ? it was Eileen?s own father, George Franklin. The ensuing trial was the first criminal case based on a repressed memory, and it raised questions and issues that continue to challenge the reliability of memory and of criminal testimony to this day. Eileen Franklin?s memories were terrifying beyond imagining... but were they true beyond a reasonable doubt?","En enero de 1989, en un instante, Eileen Franklin recordó que tenía ocho años y fue testigo de la violación y asesinato de su mejor amiga, Susan Nason. ¿También recordó la identidad del asesino? era el propio padre de Eileen, George Franklin. El juicio que siguió fue el primer caso penal basado en una memoria reprimida y planteó preguntas y cuestiones que continúan desafiando la confiabilidad de la memoria y del testimonio criminal hasta el día de hoy. Los recuerdos de Eileen Franklin eran aterradores más allá de lo imaginable... pero ¿eran ciertos más allá de toda duda razonable?",Hulu
s46,programa de televisión,TV Show,Demon Slayer Kimetsu No Yaiba,Asesino de demonios Kimetsu No Yaiba,Japón,Japan,2019,TV-14,2 estaciones,2 Seasons,"Acción, Aventura, Anime","Action, Adventure, Anime","It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a ""demon slayer"" so that he can turn his sister back into a human, and kill the demon that massacred his family. A sorrowful tale of siblings in which the fates of humans and demons intertwine... begins now!","Es el Período Taisho en Japón. Tanjiro, un niño de buen corazón que se gana la vida vendiendo carbón, encuentra a su familia asesinada por un demonio. Para empeorar las cosas, su hermana menor Nezuko, la única superviviente, se ha transformado en un demonio. Aunque devastado por esta sombría realidad, Tanjiro decide convertirse en un ""asesino de demonios"" para poder convertir a su hermana nuevamente en humana y matar al demonio que masacró a su familia. Una triste historia de hermanos en la que los destinos de humanos y demonios se entrelazan... ¡comienza ahora!",Hulu
s47,Película,Movie,G.I. Joe: Retaliation,SOLDADO AMERICANO. Joe: represalias,,,2013,PG-13,105 minutos,105 min,"Acción, Aventura","Action, Adventure",The Greatest American Heroes are back to face COBRA in a new adventure.,Los grandes héroes americanos han vuelto para enfrentarse a COBRA en una nueva aventura.,Hulu
s48,Película,Movie,Rogue Hostage,Rehén pícaro,,,2021,,94 minutos,94 min,"Acción, Suspense","Action, Thriller",Child Protective Services officer and former Marine Kyle Snowden must save an immigrant child from a dangerous criminal who has trapped them and other hostages inside a neighborhood store owned by Kyle’s controversial stepfather Congressman Sam Nelson.,"El oficial de Servicios de Protección Infantil y ex marine Kyle Snowden debe salvar a un niño inmigrante de un peligroso criminal que los ha atrapado a él y a otros rehenes dentro de una tienda del vecindario propiedad del controvertido padrastro de Kyle, el congresista Sam Nelson.",Hulu
s49,programa de televisión,TV Show,Roots Less Traveled,Raíces menos transitadas,,,2020,TV-G,1 temporada,1 Season,Realidad,Reality,"Pairs of family members, often from different generations, set out on adventures to solve mysteries from their family trees and grow closer as they gain wisdom not only about themselves, but also about how their past has helped shape their present.","Parejas de miembros de una familia, a menudo de diferentes generaciones, emprenden aventuras para resolver misterios de sus árboles genealógicos y acercarse a medida que adquieren sabiduría no sólo sobre ellos mismos, sino también sobre cómo su pasado ha ayudado a dar forma a su presente.",Hulu
s50,programa de televisión,TV Show,Shark Tank,Tanque de tiburones,Estados Unidos,United States,2009,TV-PG,12 estaciones,12 Seasons,Realidad,Reality,"From Executive Producer Mark Burnett comes an inventive new reality series you can sink your teeth into. Budding entrepreneurs with big ideas can still make their dreams come true and ABC is about to give them the chance to make it happen. Each week a group of self-made millionaires from all corners of the business world take their own hard earned money and offer everyday people their one true shot at making their dreams a reality. Some will sink, some will swim and some will be eaten alive.","Del productor ejecutivo Mark Burnett llega una nueva e innovadora serie de telerrealidad en la que puedes hincarle el diente. Los emprendedores en ciernes con grandes ideas aún pueden hacer realidad sus sueños y ABC está a punto de darles la oportunidad de hacerlo realidad. Cada semana, un grupo de millonarios hechos a sí mismos de todos los rincones del mundo empresarial toman el dinero que han ganado con tanto esfuerzo y ofrecen a la gente común la única oportunidad real de hacer realidad sus sueños. Algunos se hundirán, otros nadarán y otros serán devorados vivos.",Hulu
s51,Película,Movie,Yashahime: Princess Half-Demon,Yashahime: Princesa Mitad Demonio,Japón,Japan,2020,2 Seasons,#VALUE!,,animado,Anime,"Long-lost twins Towa and Setsuna reunite after ten years to discover that they are the half-demon daughters of the great demon Sesshomaru. Joined by Moroha, the daughter of Inuyasha, the three set out on a journey to regain their missing past.","Las gemelas Towa y Setsuna, perdidas hace mucho tiempo, se reúnen después de diez años para descubrir que son las hijas mitad demonio del gran demonio Sesshomaru. Junto con Moroha, la hija de Inuyasha, los tres emprenden un viaje para recuperar su pasado perdido.",Hulu
